PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID
202388,00,,218,66,3749,449,1098,0.408925318761,98,316,0.310126582278,193,256,0.75390625,54,401,455,651,83,8,230,193,1189,0.0
201956,00,,588,145,11961,1718,3781,0.454377148902,493,1339,0.368185212845,713,1052,0.677756653992,473,1882,2355,662,362,134,595,917,4642,0.0
202091,00,,31,0,197,22,62,0.354838709677,9,31,0.290322580645,18,24,0.75,13,25,38,8,2,3,6,19,71,0.0
201631,00,0,1,0,2.0,1,1,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,2,
201948,00,,293,29,4132,567,1410,0.402127659574,188,535,0.351401869158,200,257,0.778210116731,143,621,764,212,116,117,204,480,1522,0.0
202328,00,,646,417,17670,3371,6556,0.51418547895,1,17,0.058823529411,1659,2361,0.702668360864,1799,3494,5293,1376,680,373,1198,1435,8402,0.0
2876,00,,46,4,375,25,73,0.342465753424,0,0,0.0,4,14,0.285714285714,34,75,109,14,8,13,23,80,54,0.0
201969,00,,83,7,819,103,268,0.384328358208,29,79,0.367088607594,43,67,0.641791044776,24,58,82,29,18,8,37,104,278,0.0
201973,00,,635,119,11323,1465,3203,0.457383702778,400,1101,0.363306085376,589,765,0.769934640522,763,1759,2522,525,321,153,438,1225,3919,0.0
1627777,00,,544,32,9495,1455,3272,0.444682151589,883,2214,0.398825654923,253,297,0.851851851851,172,1182,1354,534,176,78,379,983,4046,0.0
1628960,00,,403,252,10228,1416,3140,0.450955414012,855,2064,0.414244186046,563,657,0.856925418569,205,1011,1216,812,293,112,399,636,4250,0.0
1629103,00,,96,5,1267,203,490,0.414285714285,71,231,0.307359307359,48,54,0.888888888888,47,182,229,61,30,28,50,122,525,0.0
1628513,00,,20,0,131,13,38,0.342105263157,5,24,0.208333333333,2,2,1.0,1,12,13,23,2,2,11,12,33,0.0
1628396,00,,193,18,2107,375,593,0.632377740303,7,15,0.466666666666,96,144,0.666666666666,295,476,771,96,44,108,106,258,853,0.0
1628999,00,,2,0,13,1,4,0.25,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2,0.0
1628389,00,,567,463,17354,3428,6389,0.536547190483,102,325,0.313846153846,1965,2598,0.75635103926,1266,3758,5024,2044,607,489,1218,1368,8923,0.0
1628476,00,,45,4,503,32,90,0.355555555555,20,54,0.37037037037,17,19,0.894736842105,6,36,42,64,21,7,18,36,101,0.0
1626173,00,,139,8,1671,161,478,0.336820083682,83,265,0.313207547169,18,26,0.692307692307,18,140,158,75,53,29,48,120,423,0.0
1627884,00,,497,218,10086,1349,2660,0.507142857142,321,987,0.325227963525,571,809,0.705809641532,594,1036,1630,366,345,314,311,932,3590,0.0
203080,00,,313,12,4203,640,1361,0.470242468772,0,6,0.0,248,491,0.505091649694,542,965,1507,190,161,111,319,546,1528,0.0
202227,00,,42,1,455,33,110,0.3,8,47,0.170212765957,21,31,0.677419354838,22,55,77,35,11,5,42,51,95,0.0
202694,00,,832,509,22093,3648,8393,0.434647920886,1300,3447,0.37713954163,1369,1768,0.774321266968,701,2989,3690,1235,545,238,942,1758,9965,0.0
1629685,00,,101,0,1090,111,261,0.425287356321,61,176,0.34659090909,36,45,0.8,44,168,212,78,36,15,51,90,319,0.0
1629005,00,0,2,0,11.0,3,7,0.428571,0,2,0.0,4,4,1.0,0,1,1,1,0,0,2,0,10,
1628417,00,,27,4,439,47,106,0.443396226415,10,39,0.25641025641,10,13,0.76923076923,26,72,98,13,7,8,11,20,114,0.0
1629636,00,,382,378,12692,2635,5818,0.452904778274,897,2313,0.387808041504,1037,1196,0.867056856187,194,821,1015,2558,447,44,1127,703,7204,0.0
1629645,00,,271,150,7410,1361,3132,0.434546615581,454,1294,0.350850077279,603,821,0.734470158343,203,917,1120,1243,297,74,700,627,3779,0.0
1626151,00,,35,3,343,24,92,0.260869565217,12,55,0.218181818181,19,31,0.612903225806,8,34,42,16,15,2,7,39,79,0.0
1627824,00,,144,48,2380,343,701,0.489300998573,125,339,0.368731563421,130,182,0.714285714285,174,326,500,179,70,36,114,219,941,0.0
1629057,00,,235,100,4753,751,1039,0.72281039461,1,7,0.142857142857,188,279,0.673835125448,588,1015,1603,325,172,388,204,445,1691,0.0
1629682,00,,40,4,406,52,147,0.353741496598,21,71,0.295774647887,24,25,0.96,5,32,37,85,30,3,46,34,149,0.0
1629035,00,,72,1,705,98,269,0.364312267657,46,155,0.296774193548,25,33,0.757575757575,11,68,79,52,21,5,27,63,267,0.0
1629684,00,,380,108,8709,946,2094,0.451766953199,446,1184,0.376689189189,386,499,0.773547094188,362,1031,1393,552,203,200,387,974,2724,0.0
1629605,00,,37,1,226,37,55,0.672727272727,0,0,0.0,8,25,0.32,24,66,90,6,2,30,12,32,82,0.0
1627778,00,,6,1,73,7,12,0.583333333333,0,0,0.0,4,4,1.0,3,11,14,4,3,1,7,10,18,0.0
1629633,00,,144,43,2479,367,915,0.401092896174,92,333,0.276276276276,108,212,0.509433962264,127,275,402,173,100,54,136,239,934,0.0
1641783,00,,74,38,1628,199,483,0.412008281573,80,239,0.334728033472,55,63,0.873015873015,73,172,245,113,33,18,56,94,533,0.0
1630643,00,,95,2,912,181,348,0.520114942528,90,223,0.403587443946,61,74,0.824324324324,39,126,165,51,22,64,41,103,513,0.0
1641724,00,,78,0,767,108,292,0.369863013698,62,211,0.293838862559,18,27,0.666666666666,21,56,77,50,15,13,39,72,296,0.0
1641710,00,,147,43,3051,377,867,0.434832756632,99,289,0.342560553633,199,277,0.718411552346,85,284,369,331,121,69,195,276,1052,0.0
1629875,00,,28,1,276,43,106,0.405660377358,8,34,0.235294117647,4,7,0.571428571428,10,25,35,50,10,6,12,19,98,0.0
