GAME_ID,GAME_DATE,SEASON_ID
1521800014,2018-07-07,2018-19
1521800019,2018-07-07,2018-19
1521800018,2018-07-07,2018-19
1521800013,2018-07-07,2018-19
1521800020,2018-07-07,2018-19
1521800015,2018-07-07,2018-19
1521800012,2018-07-07,2018-19
1521800016,2018-07-07,2018-19
1521800011,2018-07-07,2018-19
1521800017,2018-07-07,2018-19
1521800024,2018-07-08,2018-19
1521800030,2018-07-08,2018-19
1521800025,2018-07-08,2018-19
1521800026,2018-07-08,2018-19
1521800029,2018-07-08,2018-19
1521800023,2018-07-08,2018-19
1521800021,2018-07-08,2018-19
1521800027,2018-07-08,2018-19
1521800028,2018-07-08,2018-19
1521800022,2018-07-08,2018-19
1521800035,2018-07-09,2018-19
1521800033,2018-07-09,2018-19
1521800031,2018-07-09,2018-19
1521800036,2018-07-09,2018-19
1521800037,2018-07-09,2018-19
1521800040,2018-07-09,2018-19
1521800039,2018-07-09,2018-19
1521800038,2018-07-09,2018-19
1521800034,2018-07-09,2018-19
1521800032,2018-07-09,2018-19
1521800043,2018-07-10,2018-19
1521800045,2018-07-10,2018-19
1521800042,2018-07-10,2018-19
1521800041,2018-07-10,2018-19
1521800044,2018-07-10,2018-19
1521800051,2018-07-11,2018-19
1521800047,2018-07-11,2018-19
1521800049,2018-07-11,2018-19
1521800052,2018-07-11,2018-19
1521800053,2018-07-11,2018-19
1521800048,2018-07-11,2018-19
1521800046,2018-07-11,2018-19
1521800050,2018-07-11,2018-19
1521800061,2018-07-12,2018-19
1521800055,2018-07-12,2018-19
1521800054,2018-07-12,2018-19
1521800059,2018-07-12,2018-19
1521800058,2018-07-12,2018-19
1521800060,2018-07-12,2018-19
1521800057,2018-07-12,2018-19
1521800056,2018-07-12,2018-19
1521800069,2018-07-13,2018-19
1521800063,2018-07-13,2018-19
1521800064,2018-07-13,2018-19
1521800066,2018-07-13,2018-19
1521800068,2018-07-13,2018-19
1521800062,2018-07-13,2018-19
1521800067,2018-07-13,2018-19
1521800065,2018-07-13,2018-19
1521800073,2018-07-14,2018-19
1521800071,2018-07-14,2018-19
1521800070,2018-07-14,2018-19
1521800074,2018-07-14,2018-19
1521800072,2018-07-14,2018-19
1521800075,2018-07-14,2018-19
1521800078,2018-07-15,2018-19
1521800077,2018-07-15,2018-19
1521800076,2018-07-15,2018-19
1521800079,2018-07-15,2018-19
1521800080,2018-07-16,2018-19
1521800081,2018-07-16,2018-19
1521800082,2018-07-17,2018-19
1521900003,2019-07-05,2019-20
1521900008,2019-07-05,2019-20
1521900006,2019-07-05,2019-20
1521900005,2019-07-05,2019-20
1521900007,2019-07-05,2019-20
1521900004,2019-07-05,2019-20
1521900002,2019-07-05,2019-20
1521900009,2019-07-05,2019-20
1521900001,2019-07-05,2019-20
1521900013,2019-07-06,2019-20
1521900014,2019-07-06,2019-20
1521900018,2019-07-06,2019-20
1521900017,2019-07-06,2019-20
1521900016,2019-07-06,2019-20
1521900015,2019-07-06,2019-20
1521900012,2019-07-06,2019-20
1521900019,2019-07-06,2019-20
1521900011,2019-07-06,2019-20
1521900023,2019-07-07,2019-20
1521900025,2019-07-07,2019-20
1521900024,2019-07-07,2019-20
1521900020,2019-07-07,2019-20
1521900028,2019-07-07,2019-20
1521900029,2019-07-07,2019-20
1521900026,2019-07-07,2019-20
1521900022,2019-07-07,2019-20
1521900027,2019-07-07,2019-20
1521900021,2019-07-07,2019-20
1521900035,2019-07-08,2019-20
1521900037,2019-07-08,2019-20
1521900031,2019-07-08,2019-20
1521900039,2019-07-08,2019-20
1521900036,2019-07-08,2019-20
1521900033,2019-07-08,2019-20
1521900032,2019-07-08,2019-20
1521900030,2019-07-08,2019-20
1521900034,2019-07-08,2019-20
1521900038,2019-07-08,2019-20
1521900042,2019-07-09,2019-20
1521900045,2019-07-09,2019-20
1521900047,2019-07-09,2019-20
1521900048,2019-07-09,2019-20
1521900041,2019-07-09,2019-20
1521900046,2019-07-09,2019-20
1521900044,2019-07-09,2019-20
1521900043,2019-07-09,2019-20
1521900040,2019-07-09,2019-20
